Sr_no,Tweets,Retweet_Count
87,us geing ino Narcos and lisen... aa and Pao\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s Love is ridiculous!!! heir synergy is unreal!!!,0
88,aa Moors regisers 25pc surge in domesic passenger commercial vehicle siness.. hps://.co/pQ2y1OJo,0
89,malazz_shyon Fidaa_Aziz99 loozzeeyy??????,0
90,apa pe ? mama me ?\nsuch alened and sensie kids ?,0
91,hem 11 llion dollars aka 11200000000 Rupees(10000 cars a 11 lakhs each)..on ha one :P \n\nSomedy do... hps://.co/N8kE1fqud,0
92,he godness spoken!! Oulander day!!!! Oulander_SARZ hps://.co/lid9unVo66,0
93,Shilaamzah ake care  have a safe fligh.? aa ii uu ?,0
94, RaeeSRKianAnish: Dancing Queen Undouedly!?? Ok aa I am dead hps://.co/caNanarcef,42
95,yelnamynhalej You ryna sa a family?,0
96, jiminishell: S_w I guess he key poin is he repoer lieves ha S is commercially &amp; musically successful and circulaes vir\xc3\xa2\xe2\x82\xac\xc2\xa6,14
97, FCoalDigger: 7/7 also happened wih aa. oo early.,10
98,ere you go again hps://.co/5i5qASs5,0
99,ex sop from my cke lis! hps://.co/XGRwIrNze,0
100,Insuech is all au #AI a he momen and #AI inerfaces are simply he enry poin  #ech adopion seems o\xc3\xa2\xe2\x82\xac\xc2\xa6hps://.co/DXCkG0,0
101, Miffy_UK:  for he chance o #win he sweees Miffy dress up se ever! Age 2-4 years only. &amp;Cs: hps://.co/lXhnlXQkQJ #compeiio\xc3\xa2\xe2\x82\xac\xc2\xa6,56
102,ar Wars OG Cosumes  hps://.co/zAZhH9HVJ,0
103,We wouldn mind going up in ha hing! :) #OOW17 hps://.co/YoDpq2eJIf,0
104,Hear Glory_Glols case sudy on #CX sales drivers &amp; innovaions a 12:15. #OOW17 hps://.co/kuGEU8yVVf hps://.co/RFdFSyjxDw,0
105,We will soon reach he poin where conneciviy o cloud resources is going o come a serious issue. Heres why:\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/zc8CYoU3dm,1
106,SanjayChadha johnmcdonnellMP Childrens sociey childhood povey repo\n\nhps://.co/OEkyrdEa,0
107,AyushmannkPics ayushmannk yaa rue saying...????,0
108,Every summer I ell myself Im gonna ge soned and go o he zoo  I always forge o do he pa where I go o he zoo...,0
109, Maximuscle:  &amp; Follow o #WIN a pair of ickes o Harlequins V SaleSharksRug on 6h Ocor. \n18+ UK Only &amp;Cs here: hps://\xc3\xa2\xe2\x82\xac\xc2\xa6,15
110, MsMcQuin: Im a very privae person aka I don wan my 15 Cs knowing au each oher.,75
111,One of #Mexicos 4 #NAFA Goals = os #SME inclusion in NAFA supply chains. ?#Cdnz considering Mexico? Conac\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/RgcowsdvMx,0
112,Srongly commied o providing he 3 Cs - convenien coueous &amp; confidenial I services a affordae prices hps://.co/ZcexEm5OZY,0
113, WGl: ok our Chrismas show oday and you could win a rip o Disneyland! Click here: hps://.co/8cn5gvfW\n(Cs apply ok for\xc3\xa2\xe2\x82\xac\xc2\xa6,1
114,ay #2 wihou DeanCenral: \n\nIf only I could hide my sorrow under my smile like he way Dean hides his Cs under\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/RP9rGXxQlD,0
115, enered for a chance o win 100K miles from Alaska Airlines Go Anywhere Sweeps. NPN CA Only 18+ Ends12/31/17 Cs: hps://.co/NVgAqXgHLC,0
116,he rise of #PaaS indicaes he focus of innovaion is shifing even fuher oward sofware developmen.\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/3WaEWnxv,0
117, &amp; Follow o #WIN a pair of ickes o Harlequins V SaleSharksRug on 6h Ocor. \n18+ UK Only &amp;Cs here:\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/0w8lV5,15
118, DrInfoSec: NIS SP 800-37 Rev. 2 (DRAF) - Risk Mgm Framework for InfoSys &amp; Orgs\nhps://.co/JzAlUsHOV,1
119,IS SP 800-37 Rev. 2 (DRAF) - Risk Mgm Framework for InfoSys &amp; Orgs\nhps://.co/JzAlUsHOV,1
120,ompliance expes say he rump admin\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s ani-reg agenda will produce fewer  more focused SEC &amp; FINRA exams. Are you prepared? #finregs,0
121,earn how o reduce coss and enjoy a  ne profi margin of 40% or over in your accounancy pracice! You have o r\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/aIpqhJYqi,0
122,ow can #ravel and leisure indusry nk on #Io and apps o make ravel personalized &amp; enjoyae?\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/KxeZqLE,2
123, wayraw: his is a sory ing played ou in many indusries. Good hing I people are good a learning new ricks.\xc3\xa2\xe2\x82\xac\xc2\xa6hps://.co/rNLps\xc3\xa2\xe2\x82\xac\xc2\xa6,0
124,nly 4% of Arawomen use he inerne. #echFac,0
125,iscover how you can opimize your #digial journey for increased efficiency. Visi oh 1602\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/qFeRH2Wpy9,0
126,Wha is your favourie Monday morning drink?\nA Reis Informaion Sysems we can ge away wihou a cup of coffee.\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/DO5D5Jn7W,1
127,o long unil ACLiveShow we can wai o see you all here! #Scoland #Accouning #Ousourcing,0
128,ur upcoming wenar wih Gar ssenyei of Glolese NM neural machine ranslaion will explore jus ha:\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/FVsEloMJj1,0
129,knpees SarHealhIns irdaindia FordIndia aaCompanies reliancejio Marui_Corp HyundaiIndia\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/IEpYimyV,0
130, LOVE INFOSYS,0
131,heck his ou... Jooppouniy in your counry of origin hps://.co/x8UhDkZV6P,0
132,ook learn improve &amp; aiculae wih our #ZeroDisance mehod cards. Check ou his emplae for #innovaion hps://.co/gVVpq3J8cV,4
133, iAnkurSingh: 1s woman chief jusice of Delhi HC\nCanceled aa housing projec\n\nRejeced Cenres n on Indias Daugher\n\n shes no\xc3\xa2\xe2\x82\xac\xc2\xa6,20
134,ray for aa ain\xc3\xa2\xe2\x82\xac\xe2\x84\xa2 nohing wrong wih her jus pray for he child,0
135, love Yo rane voice ?,0
136, heMarquea2: #raceyLAnd  #herAzeyShoW ~ i$  #rAceyZworld ~ i$ weR he go wen he w hi$ main hoE // #xDx 4 all ing$ #raceyduke\xc3\xa2\xe2\x82\xac\xc2\xa6,7
137, oodDonorsIn: #Mumi A+ve or ve an urgen requiremen for ood  aa MemorialParel.. Ph 7275199802,37
138,Who doesn enjoy some guil-free shopping herapy?! his Oc 4h sregismumi in iniiaion wih aa Hospial \xc3\xa2\xe2\x82\xac\xc2\xa6\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/renJiGJ5D,0
139, menallycamila: heyve come far ?? hps://.co/6ldzFnAqH,19
140, oysrusuk: For a chance o win #Desiny2 for #PS4 or #Xx follow oysRUsUK and . Ends ONIGH. ? &amp;Cs hps://.co/5jkzyNApk #WinI\xc3\xa2\xe2\x82\xac\xc2\xa6,489
141,Ive go #MichiganSae o ake he W in his weeks Wendys #Rivalryef. Whos go your voe? hps://.co/FakgyDxW5,0
142, Ainavaia4: How o engage wih oming saup ecosysem in India? Indian delegaes a #NACOSummi speaking on a panel hps://.co\xc3\xa2\xe2\x82\xac\xc2\xa6,2
143, PxrickWS:  &amp; FL for a chance o win a Saff of he Queren + 20 Empower Cs! Giveaway ends Ocor 30 2017 a 11:59:00 ES. ? hps\xc3\xa2\xe2\x82\xac\xc2\xa6,21
144,hink of #ePurchasing as siness value hrough easy ying! Join our wenar wih duncanwjones from forreser.\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/CJnAUqLnYI,0
145, CollegeCan: Wonderful o hear from sudens of AlgonquinColleg &amp; CollegeLaCie a #FLF2017 o share heir experience wih learning &amp;\xc3\xa2\xe2\x82\xac\xc2\xa6,8
146,reen #elecom players appeal o he increasing numr of consumers who care au he impac of #climaechange\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/YeIS6gmEWa,0
147, CanadaSpain1: Canadian paicipans a #IoSWC17 in # rcelona! Grea eam. See you omorrow! IC_Wes NexusFP EmanEspana  canad\xc3\xa2\xe2\x82\xac\xc2\xa6,8
148, ainsewery: WIN 2 ickes o FAWales v FAIreland follow ainsewery and  his pos o ener. Winner picked Friday. &amp;Cs hps\xc3\xa2\xe2\x82\xac\xc2\xa6,186
149,arnessing he Power Of Disrupive echnology he Nex Sep For Insurance. [hps://.co/25y8IwoR0] hps://.co/wgnlIJKc4f,0
150, JasonDellaRosa: uesdays volleyll winners: Sherman Melissa Guner Whiesro Callisrg Van Alsyne ue Ridge Dodd Ciy re\xc3\xa2\xe2\x82\xac\xc2\xa6,5
151, SushilModi: I visied INFOSYS campus oday... hps://.co/p8Nur0Jn,28
152,nelecual propey is your siness. hps://.co/mlY4ro1 hps://.co/MSnaej7Nx,0
153,nelecual propey is your siness. hps://.co/1C9kc95oD,0
154, java: A Simple Inroducion o #Daa Srucures \xc3\xa2\xe2\x82\xac\xe2\x80\x9c Linked Liss\n #AI #MachineLearning \n\nhps://.co/iAupskGdqU hps://.co/1rWquXJ,95
155, udaciy: Saing ou in #Android developmen? Ready for more advanced principles? Explore Android raining in #DiscoveryWeek hps://\xc3\xa2\xe2\x82\xac\xc2\xa6,13
156, java: Using Conen Managemen Sysems in #Java Applicaions\n\nhps://.co/d5cWlQHJsx hps://.co/lhWzgirzB,60
157, MSFImagine: #Compuing jo are he #1 source of all new wages says codeorg: hps://.co/ZxwZ2kjVY hps://.co/PMu4mKZcHv,22
